Khu vực,Địa chỉ,Tên đơn vị,Công Lập,Tư Thục,Trường Chuyên?,Quận/Huyện,Địa chỉ đầy đủ,Mã BĐS,Tiêu đề,Giá (tỷ),Khoảng cách
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22492179,Nợ lô đề bán gấp căn hộ CC Tản Đà Court Q5 chỉ 1 tỷ 645 triệu DT:86m2,1.645,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Chí Thanh, Phường 9, Quận 5, TPHCM",22512020,[ Quận 5] Bán Chung cư 155 Nguyễn Chí Thanh ĐÃ CÓ SỔ HỒNG 60m2 2PN1WC,1.435,1.0599996317574616
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22413369,"Cần bán nhanh căn chung cư Phúc Thịnh, Quận 5, có nội thất, 70m2",1.58,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22386305,"Cần bán gấp CC Phúc Thịnh Q.5. DT 85m2, 2P, 2WC. Giá bán 2,8 tỷ.",2.8,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22456423,"Bán chung cư Tản Đà Court , 3.7 tỷ 75m2 2pn",3.7,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Hưng Đạo, Phường 5, Quận 5, TPHCM",22620508,Bán nhà 4.5x11m sát mặt tiền Trần Hưng Đạo trung tâm Q5 chỉ 6 tỷ nhỏ,6.3,1.0167964902531847
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Trãi, Phường 3, Quận 5, TPHCM",22581650,"Sốc giảm 200tr nhà Nguyễn Trãi, phường 3 , quận 5. 90m2/2tỷ950 SHR",2.95,
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Hùng Vương, Phường 12, Quận 5, TPHCM",22378154,"Gấp lắm rồi! Bán CH Hùng Vương Plaza Q5 85m2 2pn 1,125ty sổ riêng NTCB",1.125,2.163712302103744
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Hưng Đạo B, Phường 10, Quận 5, TPHCM",22627759,"Bán gấp căn hộ Q5, KD cho thuê 20tr/tháng, tặng cả nội thất",1.15,
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Chí Thanh, Phường 9, Quận 5, TPHCM",22383589,Chủ nhà cần bán căn hộ chung cư 155 Nguyễn Chí Thanh.,3.0,1.0599996317574616
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",21945905,"Căn hộ 2PN Everrich Infinity Q5, 80m2 - 1 tỷ 890 triệu, có sổ hồng",1.89,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Sư Vạn Hạnh, Phường 9, Quận 5, TPHCM",22503184,CHỈ 1 TỶ 810 TR- CC Sư Vạn Hạnh Q5 DTSD: 70m2 gồm 2PN2WC bao sang tên,1.81,0.8310358611442323
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22264135,Bán ch cc the everrich infinity-q5-1 tỷ 650tr-72m2-sr-view thoáng,1.65,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22627716,"Cô Năm gửi bán gấp nhà 60m2 đường Cao Đạt, P1, Q.5",0.83,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22496282,Bán căn hộ chung cư The Everrich Infinity Đường An Dương Vương Quận 5,2.075,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Phùng Hưng, Phường 14, Quận 5, TPHCM",22627762,Bán Nhà Riêng Đường Phùng Hưng Q5 58m2 Gần Đ.Hồng Bàng - Giá 880 Triệu,0.88,2.778234096945279
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22406318,💢CỰC PHẨM The Everrich Infinity Quận 5 giá chỉ 1tỷ 720 3PN 2WC 95m2,1.72,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22409716,"Cần bán gấp CC Phúc Thịnh Q.5. DT 68m2, 2P, 2WC. Giá bán 2,6 tỷ.",2.6,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22448505,"Bán gấp CC Phúc Thịnh Q.5. DT 65m2, 2P, 1WC.Giá bán 2,6 tỷ",2.599,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Phú, Phường 4, Quận 5, TPHCM",22644006,"Cần bán gấp nhà Trần Phú, p4, Q.5, 52m2, giá 2tỷ900, Sổ sẵn.",2.9,0.22450449453962826
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22409758,"Cần bán căn hộ Tản Đà 𝐂𝐎𝐔𝐑𝐓 Quận 5, TP. Hồ Chí Minh ⚜️Diện tích:",1.77,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Bùi Hữu Nghĩa, Phường 7, Quận 5, TPHCM",22627677,"Qua Úc sinh sống bán nhà 64m2 1 trệt 2 lầu 980 triệu,bùi hữu",0.98,1.0511923711406232
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22494600,"Chính chủ cần bán căn hộ văn phòng chung cư Everrich Infinity, Q5 47m2",1.72,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Hưng Đạo, Phường 1, Quận 5, TPHCM",21745444,Căn Hộ Stella Residence- 82 căn hộ chuẩn Châu Âu- dịch vụ siêu đỉnh-,10.0,0.7482803341904195
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22507633,"Bán căn hộ chung cư Tản Đà Court Quận 5. - Diện tích: 73m2,2pn, 1wc,",1.59,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22407984,"Cần bán căn hộ chung cư Tản Đà Court Địa chỉ: 86 Tản Đà, Phường 11,Q5",1.532,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22534601,"Chính chủ bán CH Tản Đà 86m2, 2PN, 2WC, SH lâu dài. Giá thật: 4.4 tỷ",4.399,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22173980,"Bán gấp CHDV Tản Đà Court , Quận 5, 84m2, 1 tỷ 370 triệu, SHR",1.37,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22388101,Ly dị BÁN CH The Everrich Infinity Q5 80m2 chỉ 1.6 tỷ 2pn,1.62,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Hưng Đạo B, Phường 14, Quận 5, TPHCM",22265332,"Tin nóng! Cần bán CHCC Soái Kình Lâm Q5 68m2 2pn 2wc 1,870 tỷ SHR NTCB",1.87,2.601743107731347
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22358234,"Căn hộ Phúc Thịnh, 341 Cao Đạt, P.1, Q.5, 70m2, 2.8 tỷ",2.8,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22509393,"Bán căn hộ chung cư The Everrich Infinity, Q5- sổ hồng- 65m2- 2 tỷ 450",2.45,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22468297,"Bán chung cư Tản đà court DT 160m2 , 7.5 tỷ , 3PN 3WC , duplex",7.5,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22356814,"bán gấp CH THE EVERRICH INFINITY, Q.5, 80,5m2 , SHR, giá 2 tỷ 800",2.8,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Ngô Gia Tự, Phường 9, Quận 5, TPHCM",22646211,"Bán gấp nhà giá tốt Ngô Gia Tự, P9, Q5, 100m2, 5tỷ350, sỗ sẵn",5.35,1.495424308089137
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"1030 Võ Văn Kiệt, Phường 6, Quận 5, TPHCM",22650703,"Nhà HXH 1030 Võ Văn Kiệt ,Công viên trước hẻm , gần Đại Thế Giới",7.7,2.994751584851638
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22375901,"Bán căn hộ The Everich Infinity Q. 5: - Diện tích: 75m² - 2 phòng ngủ,",2.375,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22538441,"Chính chủ bán CH Phúc Thịnh 86m2,3PN,2WC,NT,căn góc.Giá thật:3.6 tỷ TL",3.6,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22486378,"Gia đình cần bán CH Tản Đà Court 75m2,2PN nhà đẹp,có SH.Giá: 3.7 tỷ TL",3.7,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22411578,"Bán gấp CC Phúc Thịnh Q.5. DT 68m2, 2P, 2WC.Giá bán 2,6 tỷ",2.6,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22503587,"Bán căn hộ Phúc Thịnh Q5, 70m2, 2pn, 1wc, góc, sh chính chủ.Giá:2.6 tỷ",2.6,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22489188,"Chủ nhà bán gấp CC Tản Đà Court Q.5. DT 76m2, 2P, 1WC. Giá bán 3,7 tỷ",3.7,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 10, Quận 5, TPHCM",22395500,"Cần bán gấp CC Tản Đà Court Q.5. DT 86m2, 2P, 2WC. Giá bán 4,6 tỷ",4.6,
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Phú, Phường 4, Quận 5, TPHCM",22375681,THIẾT KẾ ĐỘC QUYỀN CH Vina Square 95m² 3PN giá 2tỷ80 hỗ trợ vay N,2.06,0.22450449453962826
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22406826,"Kẹt vốn bán căn hộ chung cư Phúc Thịnh- Quận 5 - Diện tích 82m2, 3PN,",1.85,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22455956,"Bán CH Tản Đà Court 82m2, 2PN, căn góc, SH chính chủ. Giá bán: 4 tỷ TL",4.0,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22650274,"Bán nhà giá tốt An Dương Vương, p4, q5, DT 80m2, 4tỷ300, Sổ sẵn",4.3,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22486802,"Bán gấp CC Tản Đà Court Q.5. DT 76m2, 2P, 1WC. Giá bán 3,7 tỷ",3.7,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22403507,Chủ bị nợ dí Bán căn hộ cao cấp The EverRich Infinity Q5 giá:2T215 2PN,2.215,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22494804,"Cần bán nhanh căn hộ The Everrich Infinity, An Dương Vương, Quận 5 SHR",2.715,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22418001,"Bán chung cư Tản Đà Court , 2PN 2WC SỔ HỒNG 3.950 TỶ BÁN GẤPppp",3.95,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22575644,"Bán chung cư Phúc Thịnh, cao đạt p1 q5 gần đại học sài gòn, sư phạm",1.15,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22578882,Chỉ 1 TỶ 825 TR- cao ốc TẢN ĐÀ P11 Q5- DUPLEX 3PN/3WC - SHR lâu dài,1.825,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22511922,"Cần bán gấp CC Phúc Thịnh Q.5. DT 89m2 3P, 2WC. Giá bán 3,4 tỷ",3.399,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22409720,cần tìm khách bán Căn hộ Cao Cấp Everrich Infinity Quận 5 ---Căn hộ tr,2.18,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22526566,MUA CH TẶNG NỘI THẤT bán The Everrich Infinity 80m2 2PN 2ty250,2.25,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22506110,Bán gấp chung cư cao cấp EVERICH INFINITY 2PN QUẬN 5 80M2 2PN 2WC SHR,1.965,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22451807,"Cần bán chung cư Tản đà Cao cấp , 6.150 tỷ , 101m2 , 3PN 2WC",6.15,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22392851,Thua độ đá banh bán CHCC tại quận 5 chỉ với 1ty370 2PN Sổ hồng riêng,1.37,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Lê Hồng Phong, Phường 2, Quận 5, TPHCM",22377322,"GIÁ TỐT CH Phan Văn Trị Quận 5 78m2 2pn 1,175 tỷ SHR NTCB",1.175,0.6533314781391825
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Võ Văn Kiệt, Phường 6, Quận 5, TPHCM",22632384,"24100663-Bán nhà Võ Văn Kiệt Q5, 2.7*8.4m,HXH, A4 5 tầng 4PN, 6.3ty TL",6.3,2.994751584851638
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22522102,"Định cư bán căn hộ 2PN Tản Đà Court, Q5, 86m2,1 tỷ 470tr, có sổ hồng",1.47,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Trãi, Phường 3, Quận 5, TPHCM",22581828,"Sốc bán nhà giá rẻ HXH duy nhất Nguyễn Trãi, p.3 , q.5 90m2/3tỷ550 SHR",3.55,
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22511160,Bán căn hộ chung cư The Everrich Infinity Đường An Dương Vương Quận 5,1.75,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 5, Quận 5, TPHCM",22445013,"Tôi cần bán gấp CC Tản Đà Court Q.5. DT 86m2, 2P, 2WC. Giá bán 4,6 tỷ",4.6,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22492976,"Ngộp bank bán gấp Căn Everich infinity Quận 5 , 75m2 ,Full Nội Thất",1.985,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22462018,"Bán căn hộ Tản Đà Court , Giá 3.6 Tỷ , 75m2 có 2 phòng ngủ",3.6,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Hùng Vương, Phường 12, Quận 5, TPHCM",22581429,"Căn hộ chung cư Hùng Vương, Q5 62m2 - 2PN - 1WC giá yêu thương 1ty640",1.64,2.163712302103744
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22445739,"Cần bán gấp CC Phúc Thịnh Q.5. DT 68m2, 2P, 2WC. Giá bán 2,6 tỷ.",2.599,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Nguyễn Trãi, Phường 14, Quận 5, TPHCM",22633580,"Bán gấp nhà để trả nợ, 815 Nguyễn Trãi, Quận 5, 73m2, 2tỷ750, sổ sẵn",2.75,3.2150084317161243
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22499357,"VIEW TUYỆT ĐẸP CH THE EVERRICH INFINITY Q5, 70m2 giá ưu đãi 2,36 tỷ",2.36,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22492176,Cần vốn bán gấp căn hộ CC Phúc Thịnh Q5 giá tốt chỉ 1 tỷ 875 triệu SHR,1.875,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22533451,Bán nhà đất mua CH Tản Đà Court Quận 5 giá ưu đãi chỉ 1 tỷ 400 triệu,1.4,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22022675,"Cần tiền bán gấp căn hộ The Everrich Infinity,Q5,80,5m2, 1 tỷ 750, SH",1.75,0.31008522305700886
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Lương Nhữ Học, Phường 11, Quận 5, TPHCM",22519608,"Cần bán căn hộ chung cư Sao Mai, Lương Nhữ Học, Quận 5. Căn 90m² - 2pn",3.5,2.464338183172877
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Hùng Vương, Phường 12, Quận 5, TPHCM",22378184,"GIÁ TỐT bán CHCC Hùng Vương Plaza Quận 5 126m2 3pn 1,595 tỷ SHR NTCB",1.595,2.163712302103744
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Lương Nhữ Học, Phường 11, Quận 5, TPHCM",22411522,Bán chung cư Sao Mai quận 5 - Giá 3.8 tỷ - sổ hồng 97m2,3.8,2.464338183172877
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Hồng Bàng, Phường 12, Quận 5, TPHCM",22413290,"Cần bán Cao Ốc Phú Nhuận 20 HMG. DT 130m2, 3P, 2WC. Giá 6,5 tỷ",6.5,2.3187449810543432
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trần Phú, Phường 4, Quận 5, TPHCM",22635760,"CẦN BÁN GẤP ở Trần Phú,P4, Q5. DT 72m2/2tỷ420, có sổ hồng riêng.",2.42,0.22450449453962826
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Cao Đạt, Phường 1, Quận 5, TPHCM",22533264,"chung cư mới Phúc Thịnh Mặt Tiền Cao Đạt, Phường 1, Quận 5: - Rộng 90m",1.59,0.8249557960728356
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Tản Đà, Phường 11, Quận 5, TPHCM",22407863,HÀNG ĐỘC QUYỀN! CH Tản Đà Court Q5 86m2 2PN chỉ 1tỷ8,1.82,1.9893840887379102
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"Trịnh Hoài Đức, Phường 13, Quận 5, TPHCM",22627715,"Vỡ nợ bán gấp nhà DT 58m2,1T2L,SHR,980tr,Đ.Trịnh hoài đức,quận 5",0.97,2.7420924129859197
Quận 5,"220 Đ. Trần Bình Trọng, Phường 4, Quận 5, Hồ Chí Minh",trung học thực hành sài gòn,Có,,,Quận 5,"An Dương Vương, Phường 4, Quận 5, TPHCM",22378149,"Chính chủ bán CH The Everich Infinity Q5 75m2 2pn 1,015ty SHR -Full NT",1.015,0.31008522305700886
