STT,Khu vực,Tên đơn vị,Tên đơn vị cũ,Liên cấp,Tên miền,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
135,Quận Gò Vấp,Thăng Long,thăng long,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
168,Quận Gò Vấp,Hồng Hà,hồng hà,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
169,Quận Gò Vấp,Phạm Ngũ Lão,phạm ngũ lão,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
170,Quận Gò Vấp,Sài Gòn - Gia Định,sài gòn - gia định,Có ,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
171,Quận Gò Vấp,Sài Gòn - Gia Định,sài gòn - gia định,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
172,Quận Gò Vấp,Nguyễn Tri Phương,nguyễn tri phương,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
173,Quận Gò Vấp,Việt Nhật,việt nhật,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
174,Quận Gò Vấp,Việt Anh,việt anh,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
175,Quận Gò Vấp,Lý Thái Tổ,lý thái tổ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
223,Quận Gò Vấp,Việt Úc,việt úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
68,Quận Phú Nhuận,Quận Phú Nhuận,Quận Phú Nhuận,Không,https://thptphunhuan.hcm.edu.vn,Có,,,,25.4,25.7,26,23.5,23.75,24.25,23.5,23.75,24.25,22.5,23,24,0,0,0,,,,,,,,
69,Quận Phú Nhuận,Quốc Tế Việt Úc,quốc tế việt úc,Không,http://sic.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
70,Quận Phú Nhuận,Hàn Thuyên,hàn thuyên,Không,https://thpthanthuyen.hcm.edu.vn,Có,,,,19.6,20.1,20.4,15.25,16.25,17.75,15.25,16.25,17.75,15.25,16,16.75,0,0,0,,,,,,,,
131,Quận Phú Nhuận,Đăng Khoa,đăng khoa,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
139,Quận Phú Nhuận,Quang Trung Nguyễn Huệ,quang trung nguyễn huệ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
176,Quận Phú Nhuận,Hưng Đạo,hưng đạo,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
221,Quận Phú Nhuận,Việt Úc,việt úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
241,Quận Phú Nhuận,Quốc Tế Nam Úc - Scotch Ags,quốc tế nam úc - scotch ags,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
244,Quận Phú Nhuận,Quốc Tế,quốc tế,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
245,Quận Phú Nhuận,Quốc Tế Việt Úc,quốc tế việt úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
71,Quận Tân Bình,Nguyễn Chí Thanh,nguyễn chí thanh,Không,https://thptnguyenchithanh.hcm.edu.vn,Có,,,,22.8,23,23.2,20.25,21.25,21.5,20.25,21.25,21.5,18.25,18.5,18.75,0,0,0,,,,,,,,
72,Quận Tân Bình,Nguyễn Thượng Hiền,nguyễn thượng hiền,Không,https://thptnguyenthuonghien.hcm.edu.vn,Có,,,Có,26.3,26.5,27,25.5,25.75,26,25.5,25.75,26,24.25,25.25,26,4,3,2,4,14,1,34,6,14,14,34
73,Quận Tân Bình,Nguyễn Thái Bình,nguyễn thái bình,Không,https://thptnguyenthaibinh.hcm.edu.vn,Có,,,,21.1,21.5,21.6,17.25,18,18.25,17.25,18,18.25,17,17,17.5,0,0,0,,,,,,,,
74,Quận Tân Bình,Thủ Khoa Huân,thủ khoa huân,Không,https://thptthukhoahuan.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
177,Quận Tân Bình,Nguyễn Khuyến,nguyễn khuyến,,,,,Có,,21.7,22,22.1,19.5,20.25,20.5,19.5,20.25,20.5,18.25,18.75,18.75,0,0,0,,,,,,,,
179,Quận Tân Bình,Thái Bình,thái bình,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
180,Quận Tân Bình,Thanh Bình,thanh bình,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
181,Quận Tân Bình,Việt Thanh,việt thanh,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
182,Quận Tân Bình,Việt Mỹ Anh,việt mỹ anh,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
183,Quận Tân Bình,Hai Bà Trưng,hai bà trưng,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
184,Quận Tân Bình,Bắc Ái,bắc ái,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
185,Quận Tân Bình,Thủ Khoa Huân,thủ khoa huân,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
186,Quận Tân Bình,Thái Bình Dương,thái bình dương,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
226,Quận Tân Bình,Việt Mỹ,việt mỹ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
236,Quận Tân Bình,Quốc Tế Á Châu,quốc tế á châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
238,Quận Tân Bình,Quốc Tế Nam Mỹ,quốc tế nam mỹ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
110,Quận Tân Phú,Tây Thạnh,tây thạnh,Không,https://thpttaythanh.hcm.edu.vn,Có,,,,23.6,23.9,24.3,21.75,22.75,23.25,21.75,22.75,23.25,21,22,23,0,0,0,,,,,,,,
111,Quận Tân Phú,Quận Tân Bình,Quận Tân Bình,Không,https://thpttanbinh.hcm.edu.vn,Có,,,,22.8,23.1,23.2,20.25,20.5,21.25,20.25,20.5,21.25,19.5,20.25,20.5,0,0,0,,,,,,,,
112,Quận Tân Phú,Trần Phú,trần phú,Không,https://thpttranphu.hcm.edu.vn,Có,,,,25.3,25.4,26,23.5,23.75,24,23.5,23.75,24,23.25,23.25,23.5,1,0,0,,,,,,,,
113,Quận Tân Phú,Lê Trọng Tấn,lê trọng tấn,Không,https://thptletrongtan.hcm.edu.vn,Có,,,,22.2,22.5,22.8,20.25,20.5,20.75,20.25,20.5,20.75,19.5,20.5,21,0,0,0,,,,,,,,
114,Quận Tân Phú,Th-Thcs-Nam Úc,th-thcs-nam úc,Không,https://thptnamuc.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
187,Quận Tân Phú,Đào Duy Anh,đào duy anh,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
188,Quận Tân Phú,Hồng Đức,hồng đức,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
189,Quận Tân Phú,Nhân Văn,nhân văn,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
190,Quận Tân Phú,Nguyễn Trãi,nguyễn trãi,,,,,Có,,18.1,18.5,18.8,13.25,13.75,14.5,16.25,17.25,17.5,13.75,14,14.25,0,0,0,,,,,,,,
191,Quận Tân Phú,Trí Đức,trí đức,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
192,Quận Tân Phú,Hòa Bình,hòa bình,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
193,Quận Tân Phú,Khai Minh,khai minh,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
194,Quận Tân Phú,Nam Việt,nam việt,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
195,Quận Tân Phú,Vĩnh Viễn,vĩnh viễn,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
196,Quận Tân Phú,Lê Thánh Tông,lê thánh tông,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
197,Quận Tân Phú,Tre Việt,tre việt,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
198,Quận Tân Phú,Đinh Tiên Hoàng,đinh tiên hoàng,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
199,Quận Tân Phú,Trần Cao Vân,trần cao vân,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
200,Quận Tân Phú,Nam Úc,nam úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
201,Quận Tân Phú,Quận Tân Phú,Quận Tân Phú,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
202,Quận Tân Phú,Đông Á,đông á,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
203,Quận Tân Phú,An Dương Vương,an dương vương,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
204,Quận Tân Phú,Huỳnh Thúc Kháng,huỳnh thúc kháng,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
242,Quận Tân Phú,Quốc Tế Nam Úc - Scotch Ags,quốc tế nam úc - scotch ags,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
1,Thành phố Thủ Đức,Th-Thcs-Vinschool,th-thcs-vinschool,Không,https://vinschool.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
2,Thành phố Thủ Đức,Thcs-Trí Đức,thcs-trí đức,Không,http://thcs-thpttriduc.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
11,Thành phố Thủ Đức,Thủ Thiêm,thủ thiêm,Không,https://thptthuthiem.hcm.edu.vn,Có,,,,18.2,18.5,18.7,14.5,15.5,15.75,23.25,24.25,25,14,14.25,14.75,0,0,0,,,,,,,,
12,Thành phố Thủ Đức,Giồng Ông Tố,giồng ông tố,Không,https://thptgiongongto.hcm.edu.vn,Có,,,,21,21.4,21.6,18.5,18.75,19,14.5,15.5,15.75,16.75,17.25,17.25,0,0,0,,,,,,,,
42,Thành phố Thủ Đức,Dương Văn Thì,dương văn thì,Không,https://thptduongvanthi.hcm.edu.vn,Có,,,,19.7,20,20.5,16.25,16.5,16.75,16.25,16.5,16.75,14.75,15,15,0,0,0,,,,,,,,
43,Thành phố Thủ Đức,Phước Long,phước long,Không,https://thptphuoclong.hcm.edu.vn,Có,,,,20.5,20.8,21.4,18.5,18.75,19,18.5,18.75,19,16.25,16.5,16.75,0,0,0,,,,,,,,
44,Thành phố Thủ Đức,Long Trường,long trường,Không,https://thptlongtruong.hcm.edu.vn,Có,,,,17.2,17.3,18.2,12.25,13,13.75,12.25,13,13.75,12,12.25,12.5,0,0,0,,,,,,,,
45,Thành phố Thủ Đức,Nguyễn Huệ,nguyễn huệ,Không,https://thptnguyenhue.hcm.edu.vn,Có,,,,20.9,21,21.3,17,17.25,17.5,17,17.25,17.5,15.25,15.5,16,0,0,0,,,,,,,,
46,Thành phố Thủ Đức,Nguyễn Văn Tăng,nguyễn văn tăng,Không,https://thptnguyenvantang.hcm.edu.vn,Có,,,,16.8,17,17.7,11.75,12,12.25,11.75,12,12.25,11,12,13,0,0,0,,,,,,,,
75,Thành phố Thủ Đức,Linh Trung,linh trung,Không,https://thptlinhtrung.hcm.edu.vn,Có,,,,20.4,20.6,20.9,15.5,16,16.75,15.5,16,16.75,15,15.25,15.5,0,0,0,,,,,,,,
76,Thành phố Thủ Đức,Bình Chiểu,bình chiểu,Không,https://thptbinhchieu.hcm.edu.vn,Có,,,,18.1,18.5,18.8,13.25,14.25,15,13.25,14.25,15,14,14.5,15.25,0,0,0,,,,,,,,
77,Thành phố Thủ Đức,Phổ Thông Năng Khiếu Thể Thao Olympic,phổ thông năng khiếu thể thao olympic,Không,https://nkttolympic.hcm.edu.vn,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
78,Thành phố Thủ Đức,Đào Sơn Tây,đào sơn tây,Không,https://thptdaosontay.hcm.edu.vn,Có,,,,17.8,18.1,18.4,12.75,13,14.25,12.75,13,14.25,13.5,13.75,14.25,0,0,0,,,,,,,,
79,Thành phố Thủ Đức,Thành Phố Thủ Đức,Thành phố Thủ Đức,Không,https://thptthuduc.hcm.edu.vn,Có,,,,24.4,24.8,25,21.5,22.75,23,21.5,22.75,23,20.5,21,21.25,0,0,0,,,,,,,,
80,Thành phố Thủ Đức,Nguyễn Hữu Huân,nguyễn hữu huân,Không,http://thptnguyenhuuhuan.edu.vn,Có,,,Có,25.9,26.3,26.6,23.75,24,24.25,23.75,24,24.25,23.25,23.75,24.25,1,5,1,1,10,12,23,5,7,16,28
81,Thành phố Thủ Đức,Tam Phú,tam phú,Không,https://thpttamphu.hcm.edu.vn,Có,,,,22,22.2,22.4,19,19.5,19.75,19,19.5,19.75,18,18.25,18.5,0,0,0,,,,,,,,
82,Thành phố Thủ Đức,Hiệp Bình,hiệp bình,Không,https://thpthiepbinh.hcm.edu.vn,Có,,,,19.1,19.4,19.7,15,16,17,15,16,17,14,14.25,14.5,0,0,0,,,,,,,,
126,Thành phố Thủ Đức,"Phổ Thông Năng Khiếu, Đhqg-Hcm","phổ thông năng khiếu, đhqg-hcm",,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
127,Thành phố Thủ Đức,Trần Đại Nghĩa,trần đại nghĩa,,,Có,,,Có,,,,,,,,,,,,,28,35,20,15,12,8,35,21,9,12,42
178,Thành phố Thủ Đức,Nguyễn Khuyến,nguyễn khuyến,,,,,Có,,21.7,22,22.1,19.5,20.25,20.5,19.5,20.25,20.5,18.25,18.75,18.75,0,0,0,,,,,,,,
212,Thành phố Thủ Đức,Phương Nam,phương nam,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
213,Thành phố Thủ Đức,Ngô Thời Nhiệm,ngô thời nhiệm,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
214,Thành phố Thủ Đức,Hoa Sen,hoa sen,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
215,Thành phố Thủ Đức,Bách Việt,bách việt,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
217,Thành phố Thủ Đức,Quốc Tế Thành Phố Hồ Chí Minh,quốc tế thành phố hồ chí minh,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
219,Thành phố Thủ Đức,Quốc Tế Thành Phố Hồ Chí Minh - Học Viện Mỹ,quốc tế thành phố hồ chí minh - học viện mỹ,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
225,Thành phố Thủ Đức,Việt Úc,việt úc,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
229,Thành phố Thủ Đức,Hệ Thống Song Ngữ Quốc Tế Emasi,hệ thống song ngữ quốc tế emasi,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
237,Thành phố Thủ Đức,Quốc Tế Á Châu,quốc tế á châu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
249,Thành phố Thủ Đức,Song Ngữ Quốc Tế Horizon,song ngữ quốc tế horizon,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
