STT,Khu vực,Tên đơn vị,Tên đơn vị cũ,Liên cấp,Tên miền,Công Lập,Dân Lập,Tư Thục,Trường Chuyên?,2021_Điểm chuẩn nguyện vọng 1,2021_Điểm chuẩn nguyện vọng 2,2021_Điểm chuẩn nguyện vọng 3,2022_Điểm chuẩn nguyện vọng 1,2022_Điểm chuẩn nguyện vọng 2,2022_Điểm chuẩn nguyện vọng 3,2023_Điểm chuẩn nguyện vọng 1,2023_Điểm chuẩn nguyện vọng 2,2023_Điểm chuẩn nguyện vọng 3,2024_Điểm chuẩn nguyện vọng 1,2024_Điểm chuẩn nguyện vọng 2,2024_Điểm chuẩn nguyện vọng 3,Số HS đạt giải HSGQG 2024,Số HS đạt giải HSGQG 2023,Số HS đạt giải HSGQG 2022,2021_30/4_HCV,2021_30/4_HCB,2021_30/4_HCD,2021_30/4_Tổng HC,2023_30/4_HCV,2023_30/4_HCB,2023_30/4_HCD,2023_30/4_Tổng HC
55,Quận 12,Thạnh Lộc,thạnh lộc,Không,https://thpt-thanhloc-tphcm.edu.vn,Có,,,,20,20.2,20.3,16.5,17.25,18.25,16.5,17.25,18.25,16.25,17,17,0,0,0,,,,,,,,
56,Quận 12,Chinh,chinh,Không,https://thpttruongchinh.hcm.edu.vn,Có,,,,21,21.2,21.8,18.25,19,19.75,18.25,19,19.75,18,18.5,18.75,0,0,0,,,,,,,,
57,Quận 12,Võ Toản,võ toản,Không,https://thptvotruongtoan.hcm.edu.vn,Có,,,,22.9,23.3,23.6,21.25,21.75,22,21.25,21.75,22,20.75,20.75,21,0,0,0,,,,,,,,
120,Quận 12,Phổ Thông Ivs,phổ thông ivs,Không,,Có,,,,,,,,,,,,,,,,0,0,0,,,,,,,,
151,Quận 12,Bắc Sơn,bắc sơn,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
152,Quận 12,Đông Du,đông du,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
153,Quận 12,Phùng Hưng,phùng hưng,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
154,Quận 12,Lạc Hồng,lạc hồng,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
155,Quận 12,Việt Âu,việt âu,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
156,Quận 12,Ngọc Viễn Đông,ngọc viễn đông,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
157,Quận 12,Hoa Lư,hoa lư,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
158,Quận 12,Hàn Việt,hàn việt,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
159,Quận 12,Đông Dương,đông dương,,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
160,Quận 12,Tuệ Đức,tuệ đức,Có,,,,Có,,,,,,,,,,,,,,0,0,0,,,,,,,,
